id,name,addr,lat,lng,sport,format,capacity,surface,access,reserveUrl,montrealUrl,photo_url,status,reserved_slots,notes
MTL13,Terrain de soccer du parc Beurling,"6001, rue Beurling, Montréal (Québec)",45.447488,-73.584524,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-beurling,,libre,,7 h–23 h lun-ven; 7 h–22 h sam-dim; priorité aux permis
MTL14,Terrain de soccer du parc Bishop-Whelan,"Rue René Huguet, Montréal (Québec) H8T 1M7",45.442367,-73.71325,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-bishop-whelan,,libre,,Hors heures de classe; 18 h–23 h semaine scolaire; 9 h–23 h week-end; été 6 h–23 h
MTL15,Terrain de soccer du parc Carignan,"4100, rue Provost, Montréal (Québec) H8T 3J6",45.443152,-73.702048,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-carignan,,libre,,15 avril–31 octobre; 6 h–23 h; selon météo
MTL16,Terrain de soccer du parc Arthur-Therrien,"3750, boulevard Gaétan-Laberge, Montréal (Québec)",45.466616,-73.560797,soccer,,,Gazon,Réservation obligatoire,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-arthur-therrien,,libre,,7h 23h
MTL17,Terrain de soccer du parc Campbell Ouest,"1990, rue de Maricourt, Montréal (Québec) H4E 1V9",45.457907,-73.589811,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-campbell-ouest,,libre,,Ouvert mi-mai à mi-octobre; soccer libre en tout temps selon horaires du parc
MTL18,Terrain de soccer du parc Catherine-Soumillard,"48e Avenue, Montréal (Québec) H8T 2R8",45.440287,-73.708257,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-catherine-soumillard,,libre,,Hors heures de classe; 18 h–23 h semaine; 9 h–23 h week-end; été 6 h–23 h
MTL20,Terrain de soccer du parc Coubertin,"4755, rue Valéry, Montréal (Québec) H1R 1H9",45.584465,-73.608551,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-coubertin,,libre,,6h 23h
MTL21,Terrain de soccer du parc d'À-Ma-Baie,"9625, boulevard Gouin Ouest, Montréal (Québec)",45.504814,-73.783694,soccer,9v9,18,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-da-ma-baie,,libre,,6 h–23 h
MTL23,Terrain de soccer du parc de Deauville,"Rue de Riva-Bella, Montréal (Québec) H9K 1R9",45.464692,-73.891025,soccer,5v5,10,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-deauville,,libre,,6 h–23 h
MTL24,Terrain de soccer du parc de l'École secondaire de la Pointe-aux-Trembles,"15180, rue Sherbrooke Est, Montréal (Québec) H1A 3P9",45.683908,-73.494571,soccer,11v11,22,Synthétique,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-lecole-secondaire-de-la-pointe-aux-trembles,,libre,,6h-23h
MTL25,Terrain de soccer du parc de l'Honorable-George-O'Reilly,"7523, boulevard LaSalle, Montréal (Québec) H4H 1R4",45.435443,-73.584535,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-lhonorable-george-oreilly,,libre,,7 h–22 h
MTL26,Terrain de soccer du parc de la Louisiane,"4644, rue Beaubien Est, Montréal (Québec) H1T 1T7",45.567467,-73.572604,soccer,,,,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-la-louisiane,,libre,,Non renseigné
MTL27,Terrain de soccer du parc de la Reine-Élizabeth,"1650 Rue Crawford, Montréal (Québec) H4H 2H8",45.438023,-73.593148,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-la-reine-elizabeth,,libre,,7 h–23 h lun-ven; 7 h–21 h sam-dim; priorité aux permis
MTL28,Terrain de soccer du parc de la Rive-Boisée,"307, chemin de la Rive-Boisée, Montréal (Québec) H8Z 3M2",45.675902,-73.498259,soccer,11v11,22,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-la-rive-boisee,,libre,,6h-23h
MTL29,Terrain de soccer du parc de Louisbourg,"5455, rue de Louisbourg, Montréal (Québec) H4J 1K8",45.529179,-73.707208,soccer,,,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-louisbourg,,libre,,6 h–23 h; Selon calendrier en ligne partagé: https://calendar.splextech.com/?locale=FR&configurationId=6ba9df1b-eb56-48fb-befc-52e1136323b3&surfaceTypeId=1a012035-6e3b-4888-bdf7-a8e388378b6e&surfaceId=fbc19e4a-783e-4363-8847-785495e284bd&initialDate=2026-04-20
MTL30,Terrain de soccer du parc de Montmartre,"rue De Montigny et 60e Avenue, Montréal (Québec) H1A 1L9",45.675902,-73.498259,soccer,7v7,14,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-montmartre,,libre,,6h-23h
MTL31,Terrain de soccer du parc de Roxboro,"10, 11e Rue, Montréal (Québec) H8Y 2P4",45.505899,-73.802833,soccer,9v9,18,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-roxboro,,libre,,6 h–23 h
MTL32,Terrain de soccer du parc de Talcy,"8151, avenue de Talcy, Montréal (Québec)",45.607199,-73.560287,soccer,7v7,14,Gazon,Réservable,mailto:cca@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-de-talcy,,occupe,,Fermé en 2026 pour travaux ligne bleue
MTL33,Terrain de soccer du parc des Hirondelles,"2601, rue Sauvé Est, Montréal (Québec) H2B 1L5",45.575962,-73.644906,soccer,"11v11, 7v7",22,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-des-hirondelles,,libre,,6 h–23 h; Selon calendrier en ligne partagé: https://calendar.splextech.com/?locale=FR&configurationId=6ba9df1b-eb56-48fb-befc-52e1136323b3&surfaceTypeId=1a012035-6e3b-4888-bdf7-a8e388378b6e&surfaceId=fbc19e4a-783e-4363-8847-785495e284bd&initialDate=2026-04-20
MTL34,Terrain de soccer du parc des Roseraies,"7070, avenue de la Nantaise, Montréal (Québec) H1M 1B2",45.593345,-73.555536,soccer,5v5,10,Gazon,Réservable,mailto:loisirs.anjou@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-des-roseraies,,libre,,
MTL35,Terrain de soccer du parc Dixie,"695, 54e Avenue, Montréal (Québec) H8T 3A2",45.442768,-73.718205,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@ville.montreal.qc.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-dixie,,libre,,15 avril–31 octobre; 6 h–23 h
MTL36,Terrain de soccer du parc Dollard-Morin,"11750, rue La Valinière, Montréal (Québec)",45.627335,-73.593622,soccer,7v7,14,Gazon,Réservation obligatoire,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-dollard-morin,,libre,,6 h–23 h
MTL37,Terrain de soccer du parc du Boisé,"Rue du Boisé, Montréal (Québec)",45.502859,-73.793489,soccer,,,,Réservation obligatoire,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-du-boise,,libre,,6 h–23 h
MTL38,Terrain de soccer du parc du Château-Pierrefonds,"boulevard de Pierrefonds, Montréal (Québec) H9K 1R1",45.45962,-73.894094,soccer,7v7; 5v5,14,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-du-chateau-pierrefonds,,libre,,6 h–23 h
MTL39,Terrain de soccer du parc du Molise,"8691, rue Rosario-Bayeur, Montréal (Québec)",45.642123,-73.581373,soccer,7v7,14,,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-du-molise,,libre,,
MTL40,Terrain de soccer du parc du Perce-Neige,"Place Talbot, Montréal (Québec)",45.505475,-73.780835,soccer,,,,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-du-perce-neige,,libre,,6 h–23 h
MTL41,Terrain de soccer du parc du Père-Marquette,"1602, rue de Bellechasse, Montréal (Québec)",45.539683,-73.592749,soccer,"11v11, 9v9, 7v7",22,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-du-pere-marquette,,libre,,"Pratique libre
Les terrains sportifs sont accessibles sans réservation aux plages horaires suivantes :

Grand terrain de soccer
Soccer libre (12 ans et plus) 
Du 24 juin au 23 août
Lundi au vendredi de 16 h 15 à 17 h 30

Petit terrain de soccer
Soccer familial 
Du 18 avril au 15 novembre
Samedi : de 14 h à 19 h 
Dimanche : de 14 h à 17 h

Soccer libre (12 ans et plus) 
Du 18 avril au 15 novembre
Samedi : de 19 h à 23 h
Dimanche : de 19 h à 23 h

À l'extérieur de ces plages horaires, les terrains sont réservés en priorité aux personnes ou groupe détenant de permis. 

6 h à 20 h 30 : horaire du grand terrain
6 h à 23 h : horaire du petit terrain"
MTL42,Terrain de soccer du parc Duval,"Rue Atlas, Montréal (Québec) H9H 4J8",45.466272,-73.869203,soccer,7v7,14,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-duval,,libre,,6 h–23 h
MTL43,Terrain de soccer du parc-école Calixa-Lavallée,"4444, boulevard Henri-Bourassa Est, Montréal (Québec)",45.598368,-73.638071,soccer,,,,Réservation obligatoire,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-ecole-calixa-lavallee,,libre,,6 h–23 h
MTL45,Terrain de soccer du parc-école Lakeside Academy,"Rue Sir George Simpson, Montréal (Québec)",45.447149,-73.7143,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@ville.montreal.qc.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-ecole-lakeside-academy,,libre,,"Horaire habituel
28 août au 30 juin
Lundi
18 h 00 à 23 h 00
Mardi
18 h 00 à 23 h 00
Mercredi
18 h 00 à 23 h 00
Jeudi
18 h 00 à 23 h 00
Vendredi
18 h 00 à 23 h 00
Samedi
9 h 00 à 23 h 00
Dimanche
9 h 00 à 23 h 00
Durant les vacances scolaires
Horaire habituel d’été
1 juillet au 27 août
Lundi
6 h 00 à 23 h 00
Mardi
6 h 00 à 23 h 00
Mercredi
6 h 00 à 23 h 00
Jeudi
6 h 00 à 23 h 00
Vendredi
6 h 00 à 23 h 00
Samedi
6 h 00 à 23 h 00
Dimanche
6 h 00 à 23 h 00"
MTL47,Terrain de soccer du parc François-Perrault,"7525, rue François-Perrault, Montréal (Québec)",45.562638,-73.601572,soccer,,,Synthétique,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-francois-perrault,,libre,,"Soccer extérieur synthétique (pratique libre)
Période du 11 mai au 7 septembre 2026 :

Mardi, de 15h à 17h
Jeudi, de 17h à 20h
Samedi et dimanche, de 15h à 18h"
MTL48,Terrain de soccer du parc Gabriel-Lalemant,"2244, rue Sauvé Est, Montréal (Québec)",45.569631,-73.642438,soccer,,,Gazon,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-gabriel-lalemant,,libre,,Selon calendrier en ligne partagé https://calendar.splextech.com/?locale=FR&configurationId=6ba9df1b-eb56-48fb-befc-52e1136323b3&surfaceTypeId=1a012035-6e3b-4888-bdf7-a8e388378b6e&surfaceId=fbc19e4a-783e-4363-8847-785495e284bd&initialDate=2026-04-20
MTL49,Terrain de soccer du parc George-Springate,"4788, rue Richmond, Montréal (Québec)",45.491067,-73.845471,soccer,"11v11, 7v7",22,Synthétique,Non réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-george-springate,,libre,,6 h–23 h
MTL51,Terrain de soccer du parc Gilbert-Layton,"6975, avenue Chester, Montréal (Québec)",45.465873,-73.6513,soccer,,,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-gilbert-layton,,libre,,6 h–23 h
MTL52,Terrain de soccer du parc Giuseppe-Garibaldi,"7125, rue Liénart, Montréal (Québec)",45.588448,-73.570713,soccer,,,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-giuseppe-garibaldi,,libre,,7h 23h
MTL53,Terrain de soccer du parc Greendale,"Rue King, Montréal (Québec)",45.481078,-73.852637,soccer,5v5,10,,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-greendale,,libre,,6 h–23 h
MTL54,Terrain de soccer du parc Grier,"4590, rue des Cageux, Montréal (Québec) H9J 3P9",45.458494,-73.88142,soccer,"11v11, 5v5",22,Synthétique,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-grier,,libre,,6 h–23 h
MTL55,Terrain de soccer du parc Grovehill,"40, 36e Avenue, Montréal (Québec)",45.441488,-73.69413,soccer,,,Gazon,Réservable,mailto:loisirslachine@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-grovehill,,libre,,"Pour profiter de cette installation, vous devez réserver votre place par courriel ou par téléphone.

Du soccer libre permet la pratique de ce sport sans réservation :

Les lundis et mercredis, du 29 juin au 21 août 

De 17 h à 19 h pour les 6-12 ans
De 19 h à 21 h pour les 13-17 ans"
MTL56,Terrain de soccer du parc Hartenstein,"1505, rue Cardinal, Montréal (Québec)",45.517238,-73.690568,soccer,,,,Réservation obligatoire,tel:+15148556110,https://montreal.ca/lieux/terrain-de-soccer-du-parc-hartenstein,,libre,,6 h–23 h
MTL57,Terrain de soccer du parc Henri-Julien,"9300, rue Saint-Denis, Montréal (Québec)",45.547643,-73.651665,soccer,,,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-henri-julien,,libre,,Selon calendrier en ligne partagé https://calendar.splextech.com/?locale=FR&configurationId=6ba9df1b-eb56-48fb-befc-52e1136323b3&surfaceTypeId=1a012035-6e3b-4888-bdf7-a8e388378b6e&surfaceId=f4c6504e-8823-4f3d-a400-acffe36c29a3&initialDate=2026-04-20
MTL58,Terrain de soccer du parc Joe-Beef,"1659, rue Centre, Montréal (Québec) H3K 1G4",45.484515,-73.56012,soccer,7v7,14,Synthétique,Réservable,https://asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-joe-beef,,libre,,
MTL59,Terrain de soccer du parc Kirkland,"123, rue Léo-Pétrin, Montréal (Québec)",45.446539,-73.651536,soccer,,,Gazon,Réservation obligatoire,mailto:loisirslachine@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-kirkland,,libre,,"Pour profiter de cette installation, vous devez réserver votre place par courriel ou par téléphone.

Du soccer libre est offert pour la pratique de ce sport sans réservation :

Les jeudis, du 25 juin au 13 août

de 18 h à 21 h : 6 à 17 ans
de 21 h à 22 h : 18 ans et plus"
MTL60,Terrain de soccer du parc Lacordaire,"12576, boulevard Lacordaire, Montréal (Québec)",45.616035,-73.632804,soccer,,,,Réservation obligatoire,mailto:reservationsmtln@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-lacordaire,,libre,,"Tarifs - Terrains sportifs - 2026
Organismes reconnus par l’arrondissement
Gratuit
Autres locataires
62,00$
Établissement Scolaires (CSSPI ET CSEM)
Selon entente"
MTL61,Terrain de soccer du parc Le Ber,"202, avenue Ash, Montréal (Québec)",45.476943,-73.554831,soccer,5v5,10,,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-le-ber,,libre,,"Loisirs & Culture Sud-Ouest (LCSO)

Activités de soccer du 19 mai au 27 août 2023 les mercredis de 17 h 30 à 18 h 30 et les dimanches de 9 h à 12 h."
MTL63,Terrain de soccer du parc Louis-Cyr,"167, rue Saint-Ferdinand, Montréal (Québec)",45.476121,-73.582004,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-louis-cyr,,libre,,"Arrondissement : Le Sud-Ouest
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL64,Terrain de soccer du parc Luigi-Pirandello,"4550, rue de Compiègne, Montréal (Québec)",45.578245,-73.604973,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-luigi-pirandello,,libre,,"Arrondissement : Saint-Léonard
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL65,Terrain de soccer du parc Macdonald,"5335, avenue Clanranald, Montréal (Québec)",45.484132,-73.636312,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-macdonald,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL66,Terrain de soccer du parc Mackenzie-King,"4907, avenue Saint-Kevin, Montréal (Québec)",45.49042,-73.632696,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-mackenzie-king,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL67,Terrain de soccer du parc Marcel-Laurin,"2345, boulevard Thimens, Montréal (Québec)",45.508694,-73.702391,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-marcel-laurin,,libre,,"Arrondissement : Saint-Laurent
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL68,Terrain de soccer du parc Marcelin-Wilson,"11301, boulevard de l'Acadie, Montréal (Québec)",45.537438,-73.684645,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-marcelin-wilson,,libre,,"Arrondissement : Ahuntsic-Cartierville
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL69,Terrain de soccer du parc Maria-Goretti,"488, 85e Avenue, Montréal (Québec)",45.691819,-73.487015,soccer,7v7,14,Gazon naturel,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-maria-goretti,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL70,Terrain de soccer du parc Marie-Claire-Daveluy,"12180, avenue Jean-Yves-Bigras, Montréal (Québec)",45.64918,-73.567733,soccer,7v7,14,Gazon naturel,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-marie-claire-daveluy,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL71,Terrain de soccer du parc Martin-Luther-King,"3453, avenue de Kent, Montréal (Québec)",45.504006,-73.631851,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-martin-luther-king,,libre,,"Arrondissement : Côte-des-Neiges–Notre-Dame-de-Grâce
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL72,Terrain de soccer du parc Noël-Nord,"2900, rue Baker, Montréal (Québec)",45.516701,-73.728516,soccer,,,,,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-noel-nord,,libre,,"Arrondissement : Saint-Laurent
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
MTL74,Terrain de soccer du parc Pasquale-Gattuso,"11770, place Gilles-Trottier, Montréal (Québec)",45.635153,-73.575876,soccer,11v11,22,Synthétique,Réservable par permis,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-pasquale-gattuso,,libre,,"Arrondissement : Rivière-des-Prairies–Pointe-aux-Trembles
Voir la fiche Montréal.ca pour les horaires, réservations et restrictions."
